Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2004,Ismael Valdez,- - -,34,59,0,6,5,0,5.10%,22.00%,0.077,0.25,0.192,0.232,0.269,0.222,31,0,-5.2,6.5,0.3,1283
2007,Brandon Backe,Astros,7,11,1,5,1,0,9.10%,27.30%,0.4,0.5,0.4,0.455,0.8,0.523,221,0,1.7,1.2,0.3,1529
2009,Randy Wolf,Dodgers,35,81,1,5,11,1,2.50%,27.20%,0.103,0.217,0.162,0.194,0.265,0.202,16,0.2,-8.2,8.8,0.3,976
2007,Braden Looper,Cardinals,31,63,0,6,6,0,6.30%,30.20%,0.038,0.294,0.189,0.259,0.226,0.229,32,0,-5.6,6.8,0.3,526
2004,Paul Byrd,Braves,19,43,0,2,4,0,11.60%,16.30%,0,0.261,0.2,0.314,0.2,0.254,46,0,-3,4.8,0.3,594
2009,Yovani Gallardo,Brewers,31,66,2,6,8,0,3.00%,34.80%,0.138,0.235,0.172,0.197,0.31,0.219,25,0,-6.1,7.2,0.3,8173
2005,Kris Benson,Mets,28,61,0,4,6,0,8.20%,36.10%,0.02,0.333,0.184,0.273,0.204,0.229,34,0,-5.1,6.2,0.3,982
2001,Omar Daal,Phillies,32,63,0,7,5,0,1.60%,15.90%,0.018,0.289,0.236,0.25,0.255,0.225,31,0,-5.7,6.8,0.3,646
2008,Felix Hernandez,Mariners,31,2,1,1,4,0,0.00%,0.00%,3,0,1,1,4,2.024,1238,0,2.8,0.2,0.3,4772
2006,Matt Morris,Giants,33,75,0,2,6,0,1.30%,28.00%,0.067,0.308,0.2,0.213,0.267,0.21,16,0,-8.3,8.9,0.3,1172
2005,Horacio Ramirez,Braves,34,77,0,4,2,0,1.30%,22.10%,0.041,0.286,0.219,0.23,0.26,0.217,25,0,-7.3,7.8,0.3,110
2002,Jason Simontacchi,Cardinals,25,56,0,5,2,0,3.60%,26.80%,0,0.343,0.24,0.269,0.24,0.233,37,0,-4.4,5.6,0.3,1181
2007,Chris Capuano,Brewers,29,48,1,2,3,0,4.20%,33.30%,0.073,0.333,0.22,0.256,0.293,0.246,42,0,-3.7,5.2,0.3,1701
2002,Denny Neagle,Rockies,35,50,0,5,1,0,0.00%,22.00%,0.089,0.353,0.267,0.267,0.356,0.27,42,0,-3.6,5,0.3,441
2006,Woody Williams,Padres,26,62,0,3,4,0,3.20%,21.00%,0.019,0.268,0.204,0.232,0.222,0.206,22,0,-6.3,7.4,0.3,1190
2000,Shane Reynolds,Astros,22,46,1,2,2,0,2.20%,28.30%,0.1,0.308,0.225,0.262,0.325,0.261,42,0,-3.6,5.3,0.3,574
2004,Kip Wells,Pirates,25,50,0,4,0,0,6.00%,40.00%,0.116,0.348,0.186,0.239,0.302,0.239,36,0,-4.1,5.5,0.3,1012
2002,Woody Williams,Cardinals,18,36,1,3,3,0,0.00%,25.00%,0.207,0.25,0.207,0.226,0.414,0.268,60,0,-1.8,3.6,0.3,1190
2000,Mike Morgan,Diamondbacks,60,17,0,0,1,0,0.00%,29.40%,0,0.636,0.438,0.438,0.438,0.394,128,0,0.7,2,0.3,67
2005,Mark Prior,Cubs,27,56,0,5,3,0,3.60%,25.00%,0.042,0.324,0.229,0.26,0.271,0.238,35,0,-4.6,5.7,0.3,301
2000,Terry Mulholland,Braves,54,45,0,3,4,0,0.00%,35.60%,0.083,0.45,0.25,0.25,0.333,0.254,42,0,-3.6,5.2,0.3,665
2004,Ryan Vogelsong,Pirates,33,44,0,2,3,0,4.50%,29.50%,0.065,0.368,0.226,0.265,0.29,0.246,40,0,-3.4,4.9,0.3,1011
2000,Esteban Yan,Devil Rays,43,2,1,1,1,0,0.00%,0.00%,3,0,1,1,4,1.947,1128,0,2.8,0.2,0.3,1236
2000,Todd Stottlemyre,Diamondbacks,18,37,1,6,4,0,8.10%,37.80%,0.161,0.313,0.194,0.265,0.355,0.274,51,0,-2.4,4.3,0.3,75
2008,Adam Eaton,Phillies,23,36,0,1,1,0,13.90%,16.70%,0.071,0.227,0.179,0.303,0.25,0.265,53,0,-2.1,3.8,0.3,1029
